paper_id,title,abstract,summary,key_points,authors,year,domain,keywords,embedding,uploaded_by,related_paper_id,relation_type,confidence_score,evidence_text,citation_paper_id,citation_context,question,answer
P43,Research Paper 43,This paper discusses AI model 43 and its performance.,Summary of paper 43 showing insights and results.,accuracy;performance,Author43,2018,AI,AI;ML,"[0.1,0.2,0.3]",U6,P357,contradict,0.89,Evidence sentence showing relationship,P92,Citation context text,What is the result?,The model shows improved performance.
P44,Research Paper 44,This paper discusses AI model 44 and its performance.,Summary of paper 44 showing insights and results.,accuracy;performance,Author44,2021,AI,AI;ML,"[0.1,0.2,0.3]",U9,P232,contradict,0.91,Evidence sentence showing relationship,P438,Citation context text,What is the result?,The model shows improved performance.
P45,Research Paper 45,This paper discusses AI model 45 and its performance.,Summary of paper 45 showing insights and results.,accuracy;performance,Author45,2021,AI,AI;ML,"[0.1,0.2,0.3]",U1,P347,neutral,0.91,Evidence sentence showing relationship,P218,Citation context text,What is the result?,The model shows improved performance.
P46,Research Paper 46,This paper discusses AI model 46 and its performance.,Summary of paper 46 showing insights and results.,accuracy;performance,Author46,2018,AI,AI;ML,"[0.1,0.2,0.3]",U4,P2,neutral,0.96,Evidence sentence showing relationship,P49,Citation context text,What is the result?,The model shows improved performance.
P47,Research Paper 47,This paper discusses AI model 47 and its performance.,Summary of paper 47 showing insights and results.,accuracy;performance,Author47,2024,AI,AI;ML,"[0.1,0.2,0.3]",U7,P61,support,0.86,Evidence sentence showing relationship,P248,Citation context text,What is the result?,The model shows improved performance.
P48,Research Paper 48,This paper discusses AI model 48 and its performance.,Summary of paper 48 showing insights and results.,accuracy;performance,Author48,2019,AI,AI;ML,"[0.1,0.2,0.3]",U6,P192,neutral,0.95,Evidence sentence showing relationship,P68,Citation context text,What is the result?,The model shows improved performance.
P49,Research Paper 49,This paper discusses AI model 49 and its performance.,Summary of paper 49 showing insights and results.,accuracy;performance,Author49,2023,AI,AI;ML,"[0.1,0.2,0.3]",U10,P36,contradict,0.82,Evidence sentence showing relationship,P358,Citation context text,What is the result?,The model shows improved performance.
P50,Research Paper 50,This paper discusses AI model 50 and its performance.,Summary of paper 50 showing insights and results.,accuracy;performance,Author50,2020,AI,AI;ML,"[0.1,0.2,0.3]",U1,P71,support,0.9,Evidence sentence showing relationship,P390,Citation context text,What is the result?,The model shows improved performance.
P51,Research Paper 51,This paper discusses AI model 51 and its performance.,Summary of paper 51 showing insights and results.,accuracy;performance,Author51,2022,AI,AI;ML,"[0.1,0.2,0.3]",U8,P169,contradict,0.87,Evidence sentence showing relationship,P396,Citation context text,What is the result?,The model shows improved performance.
P52,Research Paper 52,This paper discusses AI model 52 and its performance.,Summary of paper 52 showing insights and results.,accuracy;performance,Author52,2018,AI,AI;ML,"[0.1,0.2,0.3]",U6,P103,support,0.81,Evidence sentence showing relationship,P194,Citation context text,What is the result?,The model shows improved performance.
P53,Research Paper 53,This paper discusses AI model 53 and its performance.,Summary of paper 53 showing insights and results.,accuracy;performance,Author53,2023,AI,AI;ML,"[0.1,0.2,0.3]",U2,P23,neutral,0.82,Evidence sentence showing relationship,P262,Citation context text,What is the result?,The model shows improved performance.
P54,Research Paper 54,This paper discusses AI model 54 and its performance.,Summary of paper 54 showing insights and results.,accuracy;performance,Author54,2018,AI,AI;ML,"[0.1,0.2,0.3]",U1,P265,contradict,0.89,Evidence sentence showing relationship,P483,Citation context text,What is the result?,The model shows improved performance.
P55,Research Paper 55,This paper discusses AI model 55 and its performance.,Summary of paper 55 showing insights and results.,accuracy;performance,Author55,2022,AI,AI;ML,"[0.1,0.2,0.3]",U1,P116,support,0.81,Evidence sentence showing relationship,P142,Citation context text,What is the result?,The model shows improved performance.
P56,Research Paper 56,This paper discusses AI model 56 and its performance.,Summary of paper 56 showing insights and results.,accuracy;performance,Author56,2020,AI,AI;ML,"[0.1,0.2,0.3]",U1,P78,support,0.88,Evidence sentence showing relationship,P110,Citation context text,What is the result?,The model shows improved performance.
P57,Research Paper 57,This paper discusses AI model 57 and its performance.,Summary of paper 57 showing insights and results.,accuracy;performance,Author57,2020,AI,AI;ML,"[0.1,0.2,0.3]",U1,P308,contradict,0.89,Evidence sentence showing relationship,P251,Citation context text,What is the result?,The model shows improved performance.
P58,Research Paper 58,This paper discusses AI model 58 and its performance.,Summary of paper 58 showing insights and results.,accuracy;performance,Author58,2022,AI,AI;ML,"[0.1,0.2,0.3]",U9,P385,contradict,0.98,Evidence sentence showing relationship,P4,Citation context text,What is the result?,The model shows improved performance.
P59,Research Paper 59,This paper discusses AI model 59 and its performance.,Summary of paper 59 showing insights and results.,accuracy;performance,Author59,2020,AI,AI;ML,"[0.1,0.2,0.3]",U5,P128,neutral,0.92,Evidence sentence showing relationship,P11,Citation context text,What is the result?,The model shows improved performance.
P60,Research Paper 60,This paper discusses AI model 60 and its performance.,Summary of paper 60 showing insights and results.,accuracy;performance,Author60,2020,AI,AI;ML,"[0.1,0.2,0.3]",U3,P58,neutral,0.96,Evidence sentence showing relationship,P307,Citation context text,What is the result?,The model shows improved performance.
P61,Research Paper 61,This paper discusses AI model 61 and its performance.,Summary of paper 61 showing insights and results.,accuracy;performance,Author61,2019,AI,AI;ML,"[0.1,0.2,0.3]",U1,P123,contradict,0.83,Evidence sentence showing relationship,P478,Citation context text,What is the result?,The model shows improved performance.
P62,Research Paper 62,This paper discusses AI model 62 and its performance.,Summary of paper 62 showing insights and results.,accuracy;performance,Author62,2023,AI,AI;ML,"[0.1,0.2,0.3]",U3,P119,neutral,0.88,Evidence sentence showing relationship,P376,Citation context text,What is the result?,The model shows improved performance.
P63,Research Paper 63,This paper discusses AI model 63 and its performance.,Summary of paper 63 showing insights and results.,accuracy;performance,Author63,2019,AI,AI;ML,"[0.1,0.2,0.3]",U10,P283,neutral,0.81,Evidence sentence showing relationship,P324,Citation context text,What is the result?,The model shows improved performance.
P64,Research Paper 64,This paper discusses AI model 64 and its performance.,Summary of paper 64 showing insights and results.,accuracy;performance,Author64,2021,AI,AI;ML,"[0.1,0.2,0.3]",U6,P169,contradict,0.92,Evidence sentence showing relationship,P39,Citation context text,What is the result?,The model shows improved performance.
P65,Research Paper 65,This paper discusses AI model 65 and its performance.,Summary of paper 65 showing insights and results.,accuracy;performance,Author65,2019,AI,AI;ML,"[0.1,0.2,0.3]",U6,P285,contradict,0.98,Evidence sentence showing relationship,P171,Citation context text,What is the result?,The model shows improved performance.
P66,Research Paper 66,This paper discusses AI model 66 and its performance.,Summary of paper 66 showing insights and results.,accuracy;performance,Author66,2018,AI,AI;ML,"[0.1,0.2,0.3]",U1,P35,neutral,0.84,Evidence sentence showing relationship,P147,Citation context text,What is the result?,The model shows improved performance.
P67,Research Paper 67,This paper discusses AI model 67 and its performance.,Summary of paper 67 showing insights and results.,accuracy;performance,Author67,2020,AI,AI;ML,"[0.1,0.2,0.3]",U5,P232,support,0.82,Evidence sentence showing relationship,P340,Citation context text,What is the result?,The model shows improved performance.
P68,Research Paper 68,This paper discusses AI model 68 and its performance.,Summary of paper 68 showing insights and results.,accuracy;performance,Author68,2020,AI,AI;ML,"[0.1,0.2,0.3]",U8,P134,contradict,0.87,Evidence sentence showing relationship,P229,Citation context text,What is the result?,The model shows improved performance.
P69,Research Paper 69,This paper discusses AI model 69 and its performance.,Summary of paper 69 showing insights and results.,accuracy;performance,Author69,2019,AI,AI;ML,"[0.1,0.2,0.3]",U5,P239,support,0.85,Evidence sentence showing relationship,P231,Citation context text,What is the result?,The model shows improved performance.
P70,Research Paper 70,This paper discusses AI model 70 and its performance.,Summary of paper 70 showing insights and results.,accuracy;performance,Author70,2018,AI,AI;ML,"[0.1,0.2,0.3]",U4,P191,contradict,0.96,Evidence sentence showing relationship,P152,Citation context text,What is the result?,The model shows improved performance.
P71,Research Paper 71,This paper discusses AI model 71 and its performance.,Summary of paper 71 showing insights and results.,accuracy;performance,Author71,2023,AI,AI;ML,"[0.1,0.2,0.3]",U4,P143,support,0.93,Evidence sentence showing relationship,P297,Citation context text,What is the result?,The model shows improved performance.
P72,Research Paper 72,This paper discusses AI model 72 and its performance.,Summary of paper 72 showing insights and results.,accuracy;performance,Author72,2021,AI,AI;ML,"[0.1,0.2,0.3]",U7,P435,neutral,0.93,Evidence sentence showing relationship,P330,Citation context text,What is the result?,The model shows improved performance.
P73,Research Paper 73,This paper discusses AI model 73 and its performance.,Summary of paper 73 showing insights and results.,accuracy;performance,Author73,2023,AI,AI;ML,"[0.1,0.2,0.3]",U5,P203,support,0.87,Evidence sentence showing relationship,P127,Citation context text,What is the result?,The model shows improved performance.
P74,Research Paper 74,This paper discusses AI model 74 and its performance.,Summary of paper 74 showing insights and results.,accuracy;performance,Author74,2021,AI,AI;ML,"[0.1,0.2,0.3]",U6,P349,neutral,0.97,Evidence sentence showing relationship,P103,Citation context text,What is the result?,The model shows improved performance.
P75,Research Paper 75,This paper discusses AI model 75 and its performance.,Summary of paper 75 showing insights and results.,accuracy;performance,Author75,2019,AI,AI;ML,"[0.1,0.2,0.3]",U10,P293,contradict,0.87,Evidence sentence showing relationship,P314,Citation context text,What is the result?,The model shows improved performance.
P76,Research Paper 76,This paper discusses AI model 76 and its performance.,Summary of paper 76 showing insights and results.,accuracy;performance,Author76,2020,AI,AI;ML,"[0.1,0.2,0.3]",U2,P175,neutral,0.93,Evidence sentence showing relationship,P383,Citation context text,What is the result?,The model shows improved performance.
P77,Research Paper 77,This paper discusses AI model 77 and its performance.,Summary of paper 77 showing insights and results.,accuracy;performance,Author77,2022,AI,AI;ML,"[0.1,0.2,0.3]",U1,P276,neutral,0.87,Evidence sentence showing relationship,P125,Citation context text,What is the result?,The model shows improved performance.
P78,Research Paper 78,This paper discusses AI model 78 and its performance.,Summary of paper 78 showing insights and results.,accuracy;performance,Author78,2024,AI,AI;ML,"[0.1,0.2,0.3]",U4,P419,contradict,0.9,Evidence sentence showing relationship,P285,Citation context text,What is the result?,The model shows improved performance.
P79,Research Paper 79,This paper discusses AI model 79 and its performance.,Summary of paper 79 showing insights and results.,accuracy;performance,Author79,2024,AI,AI;ML,"[0.1,0.2,0.3]",U6,P44,neutral,0.92,Evidence sentence showing relationship,P44,Citation context text,What is the result?,The model shows improved performance.
P80,Research Paper 80,This paper discusses AI model 80 and its performance.,Summary of paper 80 showing insights and results.,accuracy;performance,Author80,2024,AI,AI;ML,"[0.1,0.2,0.3]",U8,P335,contradict,0.91,Evidence sentence showing relationship,P120,Citation context text,What is the result?,The model shows improved performance.
P81,Research Paper 81,This paper discusses AI model 81 and its performance.,Summary of paper 81 showing insights and results.,accuracy;performance,Author81,2020,AI,AI;ML,"[0.1,0.2,0.3]",U9,P29,neutral,0.98,Evidence sentence showing relationship,P216,Citation context text,What is the result?,The model shows improved performance.
P82,Research Paper 82,This paper discusses AI model 82 and its performance.,Summary of paper 82 showing insights and results.,accuracy;performance,Author82,2021,AI,AI;ML,"[0.1,0.2,0.3]",U8,P396,support,0.82,Evidence sentence showing relationship,P116,Citation context text,What is the result?,The model shows improved performance.
P83,Research Paper 83,This paper discusses AI model 83 and its performance.,Summary of paper 83 showing insights and results.,accuracy;performance,Author83,2020,AI,AI;ML,"[0.1,0.2,0.3]",U10,P8,contradict,0.85,Evidence sentence showing relationship,P90,Citation context text,What is the result?,The model shows improved performance.
P84,Research Paper 84,This paper discusses AI model 84 and its performance.,Summary of paper 84 showing insights and results.,accuracy;performance,Author84,2023,AI,AI;ML,"[0.1,0.2,0.3]",U2,P181,contradict,0.9,Evidence sentence showing relationship,P221,Citation context text,What is the result?,The model shows improved performance.
P85,Research Paper 85,This paper discusses AI model 85 and its performance.,Summary of paper 85 showing insights and results.,accuracy;performance,Author85,2020,AI,AI;ML,"[0.1,0.2,0.3]",U5,P41,neutral,0.95,Evidence sentence showing relationship,P325,Citation context text,What is the result?,The model shows improved performance.
P86,Research Paper 86,This paper discusses AI model 86 and its performance.,Summary of paper 86 showing insights and results.,accuracy;performance,Author86,2020,AI,AI;ML,"[0.1,0.2,0.3]",U9,P316,support,0.97,Evidence sentence showing relationship,P405,Citation context text,What is the result?,The model shows improved performance.
P87,Research Paper 87,This paper discusses AI model 87 and its performance.,Summary of paper 87 showing insights and results.,accuracy;performance,Author87,2024,AI,AI;ML,"[0.1,0.2,0.3]",U2,P64,support,0.83,Evidence sentence showing relationship,P125,Citation context text,What is the result?,The model shows improved performance.
P88,Research Paper 88,This paper discusses AI model 88 and its performance.,Summary of paper 88 showing insights and results.,accuracy;performance,Author88,2019,AI,AI;ML,"[0.1,0.2,0.3]",U2,P213,support,0.82,Evidence sentence showing relationship,P138,Citation context text,What is the result?,The model shows improved performance.
P89,Research Paper 89,This paper discusses AI model 89 and its performance.,Summary of paper 89 showing insights and results.,accuracy;performance,Author89,2022,AI,AI;ML,"[0.1,0.2,0.3]",U9,P70,contradict,0.97,Evidence sentence showing relationship,P397,Citation context text,What is the result?,The model shows improved performance.
P90,Research Paper 90,This paper discusses AI model 90 and its performance.,Summary of paper 90 showing insights and results.,accuracy;performance,Author90,2021,AI,AI;ML,"[0.1,0.2,0.3]",U4,P355,neutral,0.94,Evidence sentence showing relationship,P112,Citation context text,What is the result?,The model shows improved performance.
P91,Research Paper 91,This paper discusses AI model 91 and its performance.,Summary of paper 91 showing insights and results.,accuracy;performance,Author91,2022,AI,AI;ML,"[0.1,0.2,0.3]",U8,P189,neutral,0.89,Evidence sentence showing relationship,P225,Citation context text,What is the result?,The model shows improved performance.
P92,Research Paper 92,This paper discusses AI model 92 and its performance.,Summary of paper 92 showing insights and results.,accuracy;performance,Author92,2019,AI,AI;ML,"[0.1,0.2,0.3]",U3,P234,contradict,0.85,Evidence sentence showing relationship,P207,Citation context text,What is the result?,The model shows improved performance.
P93,Research Paper 93,This paper discusses AI model 93 and its performance.,Summary of paper 93 showing insights and results.,accuracy;performance,Author93,2018,AI,AI;ML,"[0.1,0.2,0.3]",U3,P79,contradict,0.86,Evidence sentence showing relationship,P469,Citation context text,What is the result?,The model shows improved performance.
P94,Research Paper 94,This paper discusses AI model 94 and its performance.,Summary of paper 94 showing insights and results.,accuracy;performance,Author94,2023,AI,AI;ML,"[0.1,0.2,0.3]",U3,P459,contradict,0.88,Evidence sentence showing relationship,P447,Citation context text,What is the result?,The model shows improved performance.
P95,Research Paper 95,This paper discusses AI model 95 and its performance.,Summary of paper 95 showing insights and results.,accuracy;performance,Author95,2022,AI,AI;ML,"[0.1,0.2,0.3]",U7,P267,contradict,0.88,Evidence sentence showing relationship,P336,Citation context text,What is the result?,The model shows improved performance.
P96,Research Paper 96,This paper discusses AI model 96 and its performance.,Summary of paper 96 showing insights and results.,accuracy;performance,Author96,2020,AI,AI;ML,"[0.1,0.2,0.3]",U4,P31,support,0.88,Evidence sentence showing relationship,P372,Citation context text,What is the result?,The model shows improved performance.
P97,Research Paper 97,This paper discusses AI model 97 and its performance.,Summary of paper 97 showing insights and results.,accuracy;performance,Author97,2020,AI,AI;ML,"[0.1,0.2,0.3]",U2,P327,neutral,0.81,Evidence sentence showing relationship,P18,Citation context text,What is the result?,The model shows improved performance.
P98,Research Paper 98,This paper discusses AI model 98 and its performance.,Summary of paper 98 showing insights and results.,accuracy;performance,Author98,2024,AI,AI;ML,"[0.1,0.2,0.3]",U3,P76,support,0.8,Evidence sentence showing relationship,P173,Citation context text,What is the result?,The model shows improved performance.
P99,Research Paper 99,This paper discusses AI model 99 and its performance.,Summary of paper 99 showing insights and results.,accuracy;performance,Author99,2024,AI,AI;ML,"[0.1,0.2,0.3]",U4,P284,support,0.84,Evidence sentence showing relationship,P162,Citation context text,What is the result?,The model shows improved performance.
P100,Research Paper 100,This paper discusses AI model 100 and its performance.,Summary of paper 100 showing insights and results.,accuracy;performance,Author100,2024,AI,AI;ML,"[0.1,0.2,0.3]",U10,P136,neutral,0.92,Evidence sentence showing relationship,P20,Citation context text,What is the result?,The model shows improved performance.
P101,Research Paper 101,This paper discusses AI model 101 and its performance.,Summary of paper 101 showing insights and results.,accuracy;performance,Author101,2024,AI,AI;ML,"[0.1,0.2,0.3]",U6,P443,support,0.89,Evidence sentence showing relationship,P61,Citation context text,What is the result?,The model shows improved performance.
